"venue","update date","vintage","size","price","wine name"
"Green Acres","2023-11-02","2019","-","48","Riesling, Pacher Hof, Alto Adige, €"
"Green Acres","2023-11-02","2020","-","48","Gewurztraminer, Pacher Hof, Alto Adige, €"
"Green Acres","2023-11-02","2018","-","54","Sylvaner "Alte Reben", Pacher Hof, Alto Adige, €"
"Green Acres","2023-11-02","2018","-","72","Pacher Hof "Private Cuvee", Pacher Hof, Alto Adige, €"
"Green Acres","2023-11-02","2018","-","75","Chardonnay "Elioro", Cordero Di Montezemolo, Langhe, €"
"Green Acres","2023-11-02","2018","-","34",""Encruzado Reserva", Quinta Da Falorca, Dao, €"
"Green Acres","2023-11-02","2021","-","48","Arinto Dos Acores, Antonio Macanita, Azores, €"
"Green Acres","2023-11-02","2021","-","50","Caracol Dos Profetas, Antonio Macanita & Nuno Faria, Madeirense, €"
"Green Acres","2023-11-02","2021","-","65","Verdelho, Antonio Macanita, Azores, €"
"Green Acres","2023-11-02","2021","-","60","Santorini Familia, (Asassyrtiko), Hatzidakis, Santorini, €"
"Green Acres","2023-11-02","2020","-","40","Riesling "Wachenheim", Dr Burklin-Wolf, Pfalz, €"
"Green Acres","2023-11-02","2020","-","46","Riesling "Schieferterrassen", Heymann-Lowenstein, Mosel, €"
"Green Acres","2023-11-02","2017","-","64","Riesling "Ruppertsberger Hoheburg" 1Er Cru, Dr. Burklin-Wolf, Pfalz, €"
"Green Acres","2023-11-02","2019","-","69","Riesling "Rottgen" Grand Cru, Heymann-Lowenstein, Mosel, €"
"Green Acres","2023-11-02","2009","-","75","Riesling "Pechstein" Grand Cru, Dr. Burklin Wolf, Pfalz, €"
"Green Acres","2023-11-02","2012","-","75","Riesling “Gaisbohl" Grand Cru, Dr. Burklin-Wolf, Pfalz, €"
"Green Acres","2023-11-02","2016","-","120","Riesling "Reiterpfad" Grand Cru, Dr. Burklin-Wolf, Pfalz, €"
"Green Acres","2023-11-02","2021","-","37","Gruner Veltliner "Terrassen", Weingut Brundlmayer, Kamptal Austria, €"
