"venue","update date","vintage","size","price","wine name"
"Fool","2023-11-02","2020","-","170","Jonathan Didier Pabiot, Luminance, Pouilly-Fumé, France"
"Fool","2023-11-02","2020","-","175","Sylvain Dittière, Le Perlé, Saumur, France"
"Fool","2023-11-02","2019","-","225","Guiberteau, Clos De Guichaux Épieds, Saumur, France"
"Fool","2023-11-02","2018","-","270","Nicolas Joly, Coulée De Serrant, Savennières, France"
"Fool","2023-11-02","2020","-","300","Stéphane Bernaudeau, Les Onglés, Saumur, France"
"Fool","2023-11-02","2007","-","970","Didier Dagueneau, Pur Sang, Pouilly-Fumé, France"
"Fool","2023-11-02","2017","-","120","Bernard Baudry, Chinon, Chinon, France"
"Fool","2023-11-02","2021","-","150","Domaine Des Closiers, Les Closiers, Saumur-Champigny, France"
"Fool","2023-11-02","2019","-","160","Sylvain Dittière, Les Pouches, Saumur, France"
"Fool","2023-11-02","2013","-","200","Domaine De La Chevalerie, Grand-Mont, Bourgueil, France"
"Fool","2023-11-02","2020","-","210","Vincent Pinard, Charlouise, Sancerre, France"
"Fool","2023-11-02","2020","-","145","Les Bertrand, Chaos Suprême Olivia, Fleurie, Beaujolais, France"
"Fool","2023-11-02","2018","-","150","Alex Foillard, Côte De Brouilly, Beaujolais, France"
"Fool","2023-11-02","2020","-","150","Domaine Du Vernus, Régnié, Beaujolais, France"
"Fool","2023-11-02","2021","-","150","Marcel Lapierre, Morgon, Beaujolais, France"
"Fool","2023-11-02","2020","-","150","Jules Métras, Vieilles Vignes, Chiroubles, Beaujolais, France"
"Fool","2023-11-02","2011","-","280","Jules Desjourneys, Moulin-A-Vent, Beaujolais, France"
"Fool","2023-11-02","-","-","23","Beaujolais Cru-Ising, Red"
"Fool","2023-11-02","NV","-","120","Patrick Piuze, Non Dosé, Burgundy, France"
"Fool","2023-11-02","2019","-","140","Fanny Sabre, Bourgogne Aligoté, Burgundy, France"
"Fool","2023-11-02","2021","-","150","Bessin-Tremblay, Chablis Vieilles Vignes, Burgundy, France"
